,Datetime,Open,High,Low,Close,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,RSI_14_A_80,RSI_14_B_20,MA10,MA20,MA50,slope20,slope20s1p,slope_chg_up,slope_chg_dn,macds1,macdss1,buy_pt,sell_pt,buy_pt_s1,sell_pt_s1,macdps1,macdsps1,dn_to_up,up_to_dn,vol_gt2
0,2022-06-30 00:01:00,11690.75,11690.75,11690.75,11690.75,,,,,0,0,,,,0.0,,n,n,,,n,n,,,,,n,n,n
1,2022-06-30 00:02:00,11692.5,11692.5,11692.5,11692.5,,,,,0,0,,,,0.0,0.0,n,n,,,n,n,n,n,,,n,n,n
2,2022-06-30 00:03:00,11692.0,11692.0,11692.0,11692.0,,,,,0,0,,,,0.0,0.0,n,n,,,n,n,n,n,,,n,n,n
3,2022-06-30 00:03:00,11698.25,11698.25,11698.25,11698.25,,,,,0,0,,,,0.0,0.0,n,n,,,n,n,n,n,,,n,n,n
4,2022-06-30 00:04:00,11699.5,11699.5,11699.5,11699.5,,,,,0,0,,,,0.0,0.0,n,n,,,n,n,n,n,,,n,n,n
5,2022-06-30 00:04:00,11703.75,11703.75,11703.75,11703.75,,,,,0,0,,,,0.0,0.0,n,n,,,n,n,n,n,,,n,n,n
6,2022-06-30 00:05:00,11703.0,11703.0,11703.0,11703.0,,,,,0,0,,,,0.0,0.0,n,n,,,n,n,n,n,,,n,n,n
7,2022-06-30 00:05:00,11701.5,11701.5,11701.5,11701.5,,,,,0,0,,,,0.0,0.0,n,n,,,n,n,n,n,,,n,n,n
8,2022-06-30 00:06:00,11705.0,11705.0,11705.0,11705.0,,,,,0,0,,,,0.0,0.0,n,n,,,n,n,n,n,,,n,n,n
9,2022-06-30 00:06:00,11694.25,11694.25,11694.25,11694.25,,,,,0,0,11698.05,,,35.303606458860976,0.0,n,n,,,n,n,n,n,,,n,n,n
10,2022-06-30 00:07:00,11694.25,11694.25,11694.25,11694.25,,,,,0,0,11698.4,,,16.47843816090287,35.303606458860976,y,n,,,n,n,n,n,,,n,n,n
11,2022-06-30 00:07:00,11693.0,11693.0,11693.0,11693.0,,,,,0,0,11698.45,,,-10.227257746693999,16.47843816090287,y,n,,,n,n,n,n,,,n,n,n
12,2022-06-30 00:08:00,11691.75,11691.75,11691.75,11691.75,,,,,0,0,11698.425,,,-35.6527890541357,-10.227257746693999,n,y,,,n,n,n,n,,,n,n,n
13,2022-06-30 00:08:00,11686.5,11686.5,11686.5,11686.5,,,,,0,0,11697.25,,,-39.89131416921374,-35.6527890541357,n,y,,,n,n,n,n,,,n,n,n
14,2022-06-30 00:09:00,11686.25,11686.25,11686.25,11686.25,,,,44.15584415584416,0,0,11695.925,,,-46.14331353300203,-39.89131416921374,n,y,,,n,n,n,n,,,n,n,n
15,2022-06-30 00:09:00,11694.0,11694.0,11694.0,11694.0,,,,54.10509031198686,0,0,11694.95,,,-40.05468160741809,-46.14331353300203,n,y,,,n,n,n,n,,,n,n,n
16,2022-06-30 00:10:00,11693.0,11693.0,11693.0,11693.0,,,,52.79797855293972,0,0,11693.95,,,-32.38212737017443,-40.05468160741809,n,y,,,n,n,n,n,,,n,n,n
17,2022-06-30 00:10:00,11696.0,11696.0,11696.0,11696.0,,,,56.21542466644972,0,0,11693.4,,,-18.72198692010728,-32.38212737017443,n,y,,,n,n,n,n,,,n,n,n
18,2022-06-30 00:11:00,11695.75,11695.75,11695.75,11695.75,,,,55.85252437123458,0,0,11692.475,,,10.227257746694022,-18.72198692010728,n,y,,,n,n,n,n,,,n,n,n
19,2022-06-30 00:11:00,11670.5,11670.5,11670.5,11670.5,,,,32.81267860328574,0,0,11690.1,11694.075,,-17.34355646716102,10.227257746694022,y,n,,,n,n,n,n,,,n,n,n
20,2022-06-30 00:12:00,11673.0,11673.0,11673.0,11673.0,,,,35.643375243424046,0,0,11687.975,11693.1875,,-28.53957035285991,-17.34355646716102,n,y,,,n,n,n,n,,,n,n,n
21,2022-06-30 00:12:00,11676.25,11676.25,11676.25,11676.25,,,,39.227952201093096,0,0,11686.3,11692.375,,-33.07768256374692,-28.53957035285991,n,y,,,n,n,n,n,,,n,n,n
22,2022-06-30 00:13:00,11677.75,11677.75,11677.75,11677.75,,,,40.865075091190995,0,0,11684.9,11691.6625,,-34.51632434642465,-33.07768256374692,n,y,,,n,n,n,n,,,n,n,n
23,2022-06-30 00:13:00,11681.5,11681.5,11681.5,11681.5,,,,44.86394942296853,0,0,11684.4,11690.825,,-35.5840242162547,-34.51632434642465,n,y,,,n,n,n,n,,,n,n,n
24,2022-06-30 00:14:00,11683.0,11683.0,11683.0,11683.0,,,,46.4245934571473,0,0,11684.075,11690.0,,-34.95087274646848,-35.5840242162547,n,y,,,n,n,n,n,,,n,n,n
25,2022-06-30 00:14:00,11680.0,11680.0,11680.0,11680.0,,,,43.756937607969846,0,0,11682.675,11688.8125,,-28.539570352859915,-34.95087274646848,n,y,,,n,n,n,n,,,n,n,n
26,2022-06-30 00:15:00,11678.75,11678.75,11678.75,11678.75,,,,42.65705582068296,0,0,11681.25,11687.6,,-20.629879946126188,-28.539570352859915,n,y,,,n,n,n,n,,,n,n,n
27,2022-06-30 00:15:00,11666.75,11666.75,11666.75,11666.75,,,,33.858317839130834,0,0,11678.325,11685.8625,,-15.179862591321964,-20.629879946126188,n,y,,,n,n,n,n,,,n,n,n
28,2022-06-30 00:16:00,11665.25,11665.25,11665.25,11665.25,,,,32.94358337721135,0,0,11675.275,11683.875,,-12.181904211990888,-15.179862591321964,n,y,,,n,n,n,n,,,n,n,n
29,2022-06-30 00:16:00,11666.5,11666.5,11666.5,11666.5,,,,34.530921079878496,0,0,11674.875,11682.4875,,-31.79785297287863,-12.181904211990888,n,y,,,n,n,n,n,,,n,n,n
30,2022-06-30 00:17:00,11664.0,11664.0,11664.0,11664.0,,,,32.85576509282214,0,0,11673.975,11680.975,,-42.594748359911385,-31.79785297287863,n,y,,,n,n,n,n,,,n,n,n
31,2022-06-30 00:17:00,11664.25,11664.25,11664.25,11664.25,,,,33.20472658573895,0,0,11672.775,11679.5375,,-47.69528092885671,-42.594748359911385,n,y,,,n,n,n,n,,,n,n,n
32,2022-06-30 00:18:00,11661.75,11661.75,11661.75,11661.75,,,,31.444770277460066,0,0,11671.175,11678.0375,,-47.640212133640645,-47.69528092885671,n,y,-9.493432019920874,-8.117041439330125,n,n,n,n,,,n,n,n
33,2022-06-30 00:18:00,11658.25,11658.25,11658.25,11658.25,-9.493432019920874,-1.3763905805907495,-8.117041439330125,29.117887224603894,0,0,11668.85,11676.625,,-43.460597099565405,-47.640212133640645,n,y,-9.745432992391216,-8.442719749942343,n,n,n,n,,,n,n,y
34,2022-06-30 00:19:00,11657.25,11657.25,11657.25,11657.25,-9.745432992391216,-1.3027132424488723,-8.442719749942343,28.469663235312026,0,0,11666.275,11675.175,,-42.242334669904956,-43.460597099565405,n,y,-10.250614005097304,-8.804298600973336,n,n,n,n,-9.493432019920874,-8.117041439330125,n,n,y
35,2022-06-30 00:19:00,11652.0,11652.0,11652.0,11652.0,-10.250614005097304,-1.4463154041239683,-8.804298600973336,25.28689684523096,0,0,11663.475,11673.075,,-35.99552148690185,-42.242334669904956,n,y,-10.469765920975988,-9.137392064973866,n,n,n,n,-9.745432992391216,-8.442719749942343,n,n,y
36,2022-06-30 00:20:00,11652.75,11652.75,11652.75,11652.75,-10.469765920975988,-1.3323738560021212,-9.137392064973866,26.550177447545444,0,0,11660.875,11671.0625,,-46.478938049783714,-35.99552148690185,n,y,-10.482266528335458,-9.406366957646185,n,n,n,n,-10.250614005097304,-8.804298600973336,n,n,y
37,2022-06-30 00:20:00,11653.25,11653.25,11653.25,11653.25,-10.482266528335458,-1.0758995706892733,-9.406366957646185,27.431118615276006,0,0,11659.525,11668.925,,-47.36624799145577,-46.478938049783714,n,y,-10.412490462551432,-9.607591658627234,n,n,n,n,-10.469765920975988,-9.137392064973866,n,n,y
38,2022-06-30 00:21:00,11652.75,11652.75,11652.75,11652.75,-10.412490462551432,-0.804898803924198,-9.607591658627234,27.081325899177617,0,0,11658.275,11666.775,,-47.16775418725436,-47.36624799145577,n,y,-10.338876844487459,-9.75384869579928,n,n,n,n,-10.482266528335458,-9.406366957646185,n,n,y
39,2022-06-30 00:21:00,11651.5,11651.5,11651.5,11651.5,-10.338876844487459,-0.5850281486881794,-9.75384869579928,26.18244503277744,0,0,11656.775,11665.825,,-47.74017131090162,-47.16775418725436,n,y,-10.302981538659878,-9.863675264371398,n,n,n,n,-10.412490462551432,-9.607591658627234,n,n,y
40,2022-06-30 00:22:00,11649.75,11649.75,11649.75,11649.75,-10.302981538659878,-0.4393062742884801,-9.863675264371398,24.934636440004915,0,0,11655.35,11664.6625,,-42.19491966660584,-47.74017131090162,n,y,-9.918129301458976,-9.874566071788914,n,n,n,n,-10.338876844487459,-9.75384869579928,n,n,y
41,2022-06-30 00:22:00,11652.75,11652.75,11652.75,11652.75,-9.918129301458976,-0.04356322967006143,-9.874566071788914,31.00511020087533,0,0,11654.2,11663.4875,,-37.119098450005296,-42.19491966660584,n,y,-9.324092599361393,-9.76447137730341,y,y,n,n,-10.302981538659878,-9.863675264371398,n,n,y
42,2022-06-30 00:23:00,11655.0,11655.0,11655.0,11655.0,-9.324092599361393,0.4403787779420174,-9.76447137730341,35.23536807321073,0,0,11653.525,11662.35,,-26.072725768945652,-37.119098450005296,n,y,-9.949002959834615,-9.801377693809652,y,y,y,y,-9.918129301458976,-9.874566071788914,y,n,y
43,2022-06-30 00:23:00,11640.0,11640.0,11640.0,11640.0,-9.949002959834615,-0.1476252660249635,-9.801377693809652,24.465722916030924,0,0,11651.7,11660.275,,-24.780884794539567,-26.072725768945652,n,y,-10.504713322487078,-9.942044819545137,n,n,y,y,-9.324092599361393,-9.76447137730341,n,y,y
44,2022-06-30 00:24:00,11637.75,11637.75,11637.75,11637.75,-10.504713322487078,-0.5626685029419409,-9.942044819545137,23.314587893111575,0,0,11649.75,11658.0125,,-33.6482381634437,-24.780884794539567,n,y,-10.202153483282018,-9.994066552292512,n,n,n,n,-9.949002959834615,-9.801377693809652,n,n,y
45,2022-06-30 00:24:00,11645.5,11645.5,11645.5,11645.5,-10.202153483282018,-0.2080869309895057,-9.994066552292512,34.709747900680156,0,0,11649.1,11656.2875,,-35.30995673276566,-33.6482381634437,n,y,-10.04827151828431,-10.004907545490871,n,n,n,n,-10.504713322487078,-9.942044819545137,n,n,y
